,last_name,rank,year
2636,Federer,40,2000
2637,Federer,14,2001
2638,Federer,11,2002
2639,Federer,4,2003
2640,Federer,1,2004
2641,Federer,1,2005
2642,Federer,1,2006
2643,Federer,1,2007
2644,Federer,1,2008
2645,Federer,2,2009
2646,Federer,2,2010
2647,Federer,3,2011
2648,Federer,2,2012
2649,Federer,5,2013
2650,Federer,3,2014
2651,Federer,2,2015
2652,Federer,3,2016
2653,Federer,4,2017
2654,Federer,2,2018
4319,Nadal,74,2003
4320,Nadal,49,2004
4321,Nadal,3,2005
4322,Nadal,2,2006
4323,Nadal,2,2007
4324,Nadal,2,2008
4325,Nadal,2,2009
4326,Nadal,1,2010
4327,Nadal,2,2011
4328,Nadal,3,2012
4329,Nadal,4,2013
4330,Nadal,2,2014
4331,Nadal,6,2015
4332,Nadal,5,2016
4333,Nadal,2,2017
4334,Nadal,1,2018
4584,Djokovic,127,2005
4585,Djokovic,39,2006
4586,Djokovic,4,2007
4587,Djokovic,3,2008
4588,Djokovic,3,2009
4589,Djokovic,3,2010
4590,Djokovic,1,2011
4591,Djokovic,1,2012
4592,Djokovic,1,2013
4593,Djokovic,1,2014
4594,Djokovic,1,2015
4595,Djokovic,1,2016
4596,Djokovic,4,2017
4597,Djokovic,10,2018
