,Continent,Rank,Age
0,AF,2.8828948385983164,18.0
1,AS,2.805763953075709,18.0
2,EU,2.8504043670731383,18.0
3,NoA,2.8802614062245535,18.0
4,OC,2.8186479590934006,18.0
5,SA,2.8717953271127055,18.0
6,AF,2.7833772105595704,18.5
7,AS,2.726325351705794,18.5
8,EU,2.7496096760689532,18.5
9,NoA,2.7746459349210992,18.5
10,OC,2.7259766629480433,18.5
11,SA,2.761990833731992,18.5
12,AF,2.6904154071587305,19.0
13,AS,2.652394775975299,19.0
14,EU,2.655567627461792,19.0
15,NoA,2.676035373623696,19.0
16,OC,2.640391765123604,19.0
17,SA,2.660148440492483,19.0
18,AF,2.6040094283957975,19.5
19,AS,2.5839722258842226,19.5
20,EU,2.5682782212516555,19.5
21,NoA,2.5844297223323425,19.5
22,OC,2.561893265620083,19.5
23,SA,2.566268147394178,19.5
24,AF,2.524159274270771,20.0
25,AS,2.521057701432566,20.0
26,EU,2.487741457438543,20.0
27,NoA,2.499828981047039,20.0
28,OC,2.49048116443748,20.0
29,SA,2.4803499544370786,20.0
30,AF,2.4508649447836506,20.5
31,AS,2.463651202620329,20.5
32,EU,2.4139573360224547,20.5
33,NoA,2.4222331497677856,20.5
34,OC,2.4261554615757945,20.5
35,SA,2.4023938616211833,20.5
36,AF,2.3841264399344366,21.0
37,AS,2.4117527294475107,21.0
38,EU,2.3469258570033906,21.0
39,NoA,2.351642228494582,21.0
40,OC,2.368916157035027,21.0
41,SA,2.3323998689464926,21.0
42,AF,2.3239437597231296,21.5
43,AS,2.365362281914112,21.5
44,EU,2.2866470203813516,21.5
45,NoA,2.288056217227428,21.5
46,OC,2.3187632508151776,21.5
47,SA,2.2703679764130067,21.5
48,AF,2.2703169041497286,22.0
49,AS,2.324479860020132,22.0
50,EU,2.2331208261563367,22.0
51,NoA,2.2314751159663246,22.0
52,OC,2.275696742916246,22.0
53,SA,2.216298184020725,22.0
54,AF,2.223245873214234,22.5
55,AS,2.2891054637655723,22.5
56,EU,2.186347274328346,22.5
57,NoA,2.1818989247112714,22.5
58,OC,2.2397166333382326,22.5
59,SA,2.1701904917696484,22.5
60,AF,2.1827306669166457,23.0
61,AS,2.2592390931504314,23.0
62,EU,2.1463263648973796,23.0
63,NoA,2.1393276434622677,23.0
64,OC,2.210822922081137,23.0
65,SA,2.132044899659776,23.0
66,AF,2.1487712852569643,23.5
67,AS,2.2348807481747097,23.5
68,EU,2.1130580978634375,23.5
69,NoA,2.103761272219314,23.5
70,OC,2.1890156091449593,23.5
71,SA,2.1018614076911084,23.5
72,AF,2.1213677282351893,24.0
73,AS,2.2160304288384074,24.0
74,EU,2.08654247322652,24.0
75,NoA,2.0751998109824106,24.0
76,OC,2.1742946945296997,24.0
77,SA,2.0796400158636454,24.0
78,AF,2.1005199958513208,24.5
79,AS,2.202688135141525,24.5
80,EU,2.066779490986627,24.5
81,NoA,2.0536432597515573,24.5
82,OC,2.166660178235358,24.5
83,SA,2.0653807241773867,24.5
84,AF,2.0862280881053583,25.0
85,AS,2.194853867084061,25.0
86,EU,2.053769151143758,25.0
87,NoA,2.039091618526754,25.0
88,OC,2.166112060261934,25.0
89,SA,2.059083532632333,25.0
90,AF,2.0784920049973024,25.5
91,AS,2.1925276246660164,25.5
92,EU,2.047511453697913,25.5
93,NoA,2.0315448873079998,25.5
94,OC,2.172650340609428,25.5
95,SA,2.0607484412284838,25.5
96,AF,2.0773117465271533,26.0
97,AS,2.1957094078873918,26.0
98,EU,2.048006398649093,26.0
99,NoA,2.0310030660952965,26.0
100,OC,2.1862750192778404,26.0
101,SA,2.0703754499658387,26.0
102,AF,2.0826873126949104,26.5
103,AS,2.204399216748186,26.5
104,EU,2.055253985997297,26.5
105,NoA,2.037466154888643,26.5
106,OC,2.2069860962671703,26.5
107,SA,2.087964558844399,26.5
108,AF,2.094618703500574,27.0
109,AS,2.2185970512483997,27.0
110,EU,2.0692542157425255,27.0
111,NoA,2.0509341536880394,27.0
112,OC,2.2347835715774185,27.0
113,SA,2.113515767864164,27.0
114,AF,2.113105918944144,27.5
115,AS,2.238302911388032,27.5
116,EU,2.0900070878847785,27.5
117,NoA,2.071407062493486,27.5
118,OC,2.2696674452085843,27.5
119,SA,2.147029077025133,27.5
120,AF,2.1381489590256204,28.0
121,AS,2.2635167971670844,28.0
122,EU,2.1175126024240556,28.0
123,NoA,2.0988848813049823,28.0
124,OC,2.3116377171606683,28.0
125,SA,2.1885044863273064,28.0
126,AF,2.169747823745003,28.5
127,AS,2.294238708585556,28.5
128,EU,2.1517707593603568,28.5
129,NoA,2.1333676101225287,28.5
130,OC,2.36069438743367,28.5
131,SA,2.2379419957706848,28.5
132,AF,2.207902513102293,29.0
133,AS,2.3304686456434465,29.0
134,EU,2.192781558693683,29.0
135,NoA,2.1748552489461255,29.0
136,OC,2.41683745602759,29.0
137,SA,2.2953416053552678,29.0
138,AF,2.2526130270974885,29.5
139,AS,2.3722066083407567,29.5
140,EU,2.240545000424033,29.5
141,NoA,2.2233477977757716,29.5
142,OC,2.4800669229424277,29.5
143,SA,2.360703315081055,29.5
144,AF,2.3038793657305905,30.0
145,AS,2.4194525966774862,30.0
146,EU,2.2950610845514077,30.0
147,NoA,2.278845256611468,30.0
148,OC,2.5503827881781835,30.0
149,SA,2.4340271249480474,30.0
150,AF,2.3617015290015995,30.5
151,AS,2.4722066106536347,30.5
152,EU,2.3563298110758066,30.5
153,NoA,2.3413476254532144,30.5
154,OC,2.627785051734857,30.5
155,SA,2.5153130349562445,30.5
