,last_name,rank,age
1291,Gambill,55,23
1292,Gambill,20,24
1293,Gambill,43,25
1294,Gambill,42,26
1295,Gambill,83,27
1296,Gambill,141,28
1297,Gambill,344,29
1298,Gambill,683,30
1299,Gambill,1142,31
1300,Gambill,1312,34
1431,Clement,52,23
1432,Clement,12,24
1433,Clement,42,25
1434,Clement,35,26
1435,Clement,49,27
1436,Clement,106,28
1437,Clement,54,29
1438,Clement,45,30
1439,Clement,86,31
1440,Clement,78,32
1441,Clement,72,33
1442,Clement,149,34
1443,Clement,163,35
1444,Clement,519,36
1581,Sluiter,128,22
1582,Sluiter,102,23
1583,Sluiter,84,24
1584,Sluiter,59,25
1585,Sluiter,82,26
1586,Sluiter,106,27
1587,Sluiter,94,28
1588,Sluiter,142,29
1589,Sluiter,210,30
1590,Sluiter,269,31
1591,Sluiter,360,32
1592,Sluiter,664,33
1593,Okun,235,22
1594,Okun,213,23
1595,Okun,111,24
1596,Okun,164,25
1597,Okun,163,26
1598,Okun,156,27
1599,Okun,198,28
1600,Okun,180,29
1601,Okun,319,31
1602,Okun,628,33
1664,Wessels,120,22
1665,Wessels,121,23
1666,Wessels,247,24
1667,Wessels,309,25
1668,Wessels,189,26
1669,Wessels,90,27
1670,Wessels,220,28
1671,Wessels,221,29
1672,Wessels,276,30
1690,Armando,139,23
1691,Armando,145,24
1692,Armando,350,25
1693,Armando,250,26
1694,Armando,166,27
1695,Armando,185,28
1696,Armando,202,29
1697,Armando,266,30
1698,Armando,789,31
2857,Federer,40,19
2858,Federer,14,20
2859,Federer,11,21
2860,Federer,4,22
2861,Federer,1,23
2862,Federer,1,24
2863,Federer,1,25
2864,Federer,1,26
2865,Federer,1,27
2866,Federer,2,28
2867,Federer,2,29
2868,Federer,3,30
2869,Federer,2,31
2870,Federer,5,32
2871,Federer,3,33
2872,Federer,2,34
2873,Federer,3,35
2874,Federer,4,36
2875,Federer,2,37
5245,Nadal,74,17
5246,Nadal,49,18
5247,Nadal,3,19
5248,Nadal,2,20
5249,Nadal,2,21
5250,Nadal,2,22
5251,Nadal,2,23
5252,Nadal,1,24
5253,Nadal,2,25
5254,Nadal,3,26
5255,Nadal,4,27
5256,Nadal,2,28
5257,Nadal,6,29
5258,Nadal,5,30
5259,Nadal,2,31
5260,Nadal,1,32
