"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",2.13814895902562,0.125065385217373,628.32087210278,17.0962489365812,4.30571336346468e-54
"continentAS",0.125367838141464,0.142075395570956,628.448169214525,0.882403583235863,0.377895986058928
"continentEU",-0.020636356601565,0.12733123530729,628.291755875348,-0.162068298102684,0.871304176233153
"continentNoA",-0.039264077720638,0.138802094128787,639.482828066749,-0.282878136436521,0.77736179599442
"continentOC",0.173488758135048,0.158855665629784,652.207134745226,1.09211564754239,0.275185523513718
"continentSA",0.0503555273016861,0.135857914797467,627.227583121563,0.37064846296776,0.711024520261221
"continentAF:age_2.8",0.566419048008594,0.222409121220262,426.604132795103,2.54674378865804,0.0112236193904447
"continentAS:age_2.8",0.559357971975236,0.120047387968432,423.174855100398,4.65947640711954,4.25313199239346e-06
"continentEU:age_2.8",0.617636714755787,0.0425126242270887,415.957885060505,14.5283130831108,5.71008479825966e-39
"continentNoA:age_2.8",0.619605476290429,0.112515229347343,469.585234077614,5.50685875933878,6.02484212147514e-08
"continentOC:age_2.8",0.910269422250858,0.189151792168829,522.102293134399,4.81237535110633,1.95535853055793e-06
"continentSA:age_2.8",0.909129187455521,0.0946046484141044,429.594721978097,9.60977290963623,6.20350431952545e-20
"continentAF:age_2.8sq",1.31116492758129,0.196056643370211,534.765108780022,6.68768425819384,5.72260904194192e-11
"continentAS:age_2.8sq",1.10160512788386,0.098070905377545,468.194864159589,11.2327414908937,4.36731634226692e-26
"continentEU:age_2.8sq",1.35052847940487,0.035641328237098,502.397381343707,37.8922039723297,2.11087541649772e-149
"continentNoA:age_2.8sq",1.40098200121,0.0913236815049609,585.199302246676,15.3408401645951,6.83805092052433e-45
"continentOC:age_2.8sq",1.41727966418359,0.154139496932062,671.913244614056,9.19478584264653,4.64398918209915e-19
"continentSA:age_2.8sq",1.59242002824092,0.080159228979102,548.076312812268,19.8657103931985,1.48785642789863e-66
