,rankRaw,age
0,15.281736485026066,18.0
1,14.320177499955193,18.5
2,13.425853280328647,19.0
3,12.598763826146435,19.5
4,11.838909137408551,20.0
5,11.146289214115,20.5
6,10.520904056265781,21.0
7,9.962753663860893,21.5
8,9.471838036900335,22.0
9,9.048157175384107,22.5
10,8.691711079312212,23.0
11,8.402499748684646,23.5
12,8.180523183501412,24.0
13,8.02578138376251,24.5
14,7.938274349467938,25.0
15,7.918002080617696,25.5
16,7.964964577211786,26.0
17,8.079161839250206,26.5
18,8.26059386673296,27.0
19,8.509260659660042,27.5
20,8.825162218031457,28.0
21,9.208298541847201,28.5
22,9.658669631107278,29.0
23,10.176275485811685,29.5
24,10.761116105960424,30.0
25,11.413191491553492,30.5
